,mcaldt,tmytm
126,1990-07-31,7.4647976288646
127,1990-08-31,7.4882784070362005
128,1990-09-28,7.0187276077419005
129,1990-10-31,6.7444660259385
130,1990-11-30,6.6513962741132
131,1990-12-31,5.447024659215
132,1991-01-31,5.8768054772784
133,1991-02-28,5.7136792636828
134,1991-03-28,5.8870017126788
135,1991-04-30,5.4160648790163
136,1991-05-31,5.3875033663209
137,1991-06-28,5.1833265567044
138,1991-07-31,5.540806895387901
139,1991-08-30,5.3055890495633005
140,1991-09-30,4.9887482442573
141,1991-10-31,4.786383874157
142,1991-11-29,4.0632353975472
143,1991-12-31,3.7165038872285
144,1992-01-31,3.7274358136908
145,1992-02-28,3.8495326005148
146,1992-03-31,4.0114669449388005
147,1992-04-30,3.5037961150167
148,1992-05-29,3.6358723358956
149,1992-06-30,3.5131227451262
150,1992-07-31,3.0764873768708
151,1992-08-31,3.0252721432214003
152,1992-09-30,2.6903718748074
153,1992-10-30,2.7714911176172
154,1992-11-30,2.6695518170644
155,1992-12-31,2.9240956469943002
156,1993-01-29,2.8629808971362003
157,1993-02-26,2.7206668314686
158,1993-03-31,2.8632056868119
159,1993-04-30,2.852814981508
160,1993-05-28,2.9544784743858
161,1993-06-30,2.8632056868119
162,1993-07-30,2.8841112116871
163,1993-08-31,2.8625314600432
164,1993-09-30,2.7817623552784
