mcaldt,tmytm
1991-08-30,5.3055890495633005
1991-09-30,4.9887482442573
1991-10-31,4.786383874157
1991-11-29,4.0632353975472
1991-12-31,3.7165038872285
1992-01-31,3.7274358136908
1992-02-28,3.8495326005148
1992-03-31,4.0114669449388005
1992-04-30,3.5037961150167
1992-05-29,3.6358723358956
1992-06-30,3.5131227451262
1992-07-31,3.0764873768708
1992-08-31,3.0252721432214003
1992-09-30,2.6903718748074
1992-10-30,2.7714911176172
1992-11-30,2.6695518170644
1992-12-31,2.9240956469943002
1993-01-29,2.8629808971362003
1993-02-26,2.7206668314686
1993-03-31,2.8632056868119
1993-04-30,2.852814981508
1993-05-28,2.9544784743858
1993-06-30,2.8632056868119
1993-07-30,2.8841112116871
1993-08-31,2.8625314600432
1993-09-30,2.7817623552784
